club_name,country,player_name,age,position,club_involved_name,club_involved_country,transfer_movement,transfer_period,year,id
Ittihad Club,Saudi Arabia,Khaled Al-Sumairi,19.0,Defensive Midfield,Ittihad C. U23,Saudi Arabia,in,Summer,2016,3462
Ittihad Club,Saudi Arabia,Sultan Mandash,21.0,Right Winger,Najran SC,Saudi Arabia,in,Summer,2016,3463
Ittihad Club,Saudi Arabia,Yahya Dagriri,24.0,Second Striker,Najran SC,Saudi Arabia,in,Summer,2016,3464
Ittihad Club,Saudi Arabia,Mohammed Al-Amri,24.0,Right-Back,Al-Raed,Saudi Arabia,in,Summer,2016,3465
Ittihad Club,Saudi Arabia,Amaar Al-Dohaim,22.0,Centre-Back,Hajer,Saudi Arabia,in,Summer,2016,3466
Ittihad Club,Saudi Arabia,Hattan Bahebri,23.0,Left Winger,Khaleej,Saudi Arabia,in,Summer,2016,3467
Ittihad Club,Saudi Arabia,Gelmin Rivas,27.0,Centre-Forward,Sharjah FC,United Arab Emirates,out,Summer,2016,3468
Ittihad Club,Saudi Arabia,Lucian Sanmartean,36.0,Central Midfield,Pandurii,Romania,out,Summer,2016,3469
Ittihad Club,Saudi Arabia,Abdulfattah Asiri,22.0,Right Winger,Al-Ahli SFC,Saudi Arabia,out,Summer,2016,3470
Ittihad Club,Saudi Arabia,Hattan Bahebri,23.0,Left Winger,Al-Shabab,Saudi Arabia,out,Summer,2016,3471
Ittihad Club,Saudi Arabia,Mukhtar Fallatah,28.0,Centre-Forward,Al-Wehda,Saudi Arabia,out,Summer,2016,3472
Ittihad Club,Saudi Arabia,Mohammed Al-Amri,24.0,Right-Back,Al-Raed,Saudi Arabia,out,Summer,2016,3473
Ittihad Club,Saudi Arabia,Yahya Dagriri,24.0,Second Striker,Damac FC,Saudi Arabia,out,Summer,2016,3474
Ittihad Club,Saudi Arabia,Mohammed Abusabaan,26.0,Defensive Midfield,Al-Fateh,Saudi Arabia,out,Summer,2016,3475
Ittihad Club,Saudi Arabia,Faisal Al-Khara,22.0,Right-Back,Khaleej,Saudi Arabia,out,Summer,2016,3476
Ittihad Club,Saudi Arabia,Ahmed Al-Nazeri,23.0,Centre-Forward,Al-Qadsiah FC,Saudi Arabia,out,Summer,2016,3477
Ittihad Club,Saudi Arabia,Mohammed Al-Beladi,22.0,Defensive Midfield,Free Agent,Free Agent,out,Summer,2016,3478
Ittihad Club,Saudi Arabia,Sulley Muntari,31.0,Central Midfield,Free Agent,Free Agent,out,Summer,2016,3479
Ittihad Club,Saudi Arabia,Hamad Al Montashari,34.0,Centre-Back,Retired,Retired,out,Summer,2016,3480
Ittihad Club,Saudi Arabia,Osama Al Harbi,32.0,Centre-Back,Free Agent,Free Agent,out,Summer,2016,3481
Ittihad Club,Saudi Arabia,Riyadh Al-Ibrahim,22.0,Centre-Forward,Hajer,Saudi Arabia,out,Summer,2016,3482
Khaleej FC,Saudi Arabia,Sadat Ouro-Akoriko,28.0,Centre-Back,Al-Faisaly FC,Saudi Arabia,in,Summer,2016,3483
Khaleej FC,Saudi Arabia,Youness Elewi Al-Enezi,26.0,Centre-Forward,Al-Hilal,Saudi Arabia,in,Summer,2016,3484
Khaleej FC,Saudi Arabia,Abdullah Al-Mohammed,25.0,Defensive Midfield,Al-Ahli SFC,Saudi Arabia,in,Summer,2016,3485
Khaleej FC,Saudi Arabia,Jandson,29.0,Centre-Forward,Al-Qadsiah FC,Saudi Arabia,in,Summer,2016,3486
Khaleej FC,Saudi Arabia,Zakaria Al-Sudani,23.0,Defensive Midfield,Al-Ahli SFC,Saudi Arabia,in,Summer,2016,3487
Khaleej FC,Saudi Arabia,Alexander López,24.0,Attacking Midfield,CD Olimpia,Bosnia and Herzegovina,in,Summer,2016,3488
Khaleej FC,Saudi Arabia,Khaled Al-Zylaeei,29.0,Right Winger,Al-Taawoun,Saudi Arabia,in,Summer,2016,3489
Khaleej FC,Saudi Arabia,Rashed Al Rahab,32.0,Right-Back,Hajer,Saudi Arabia,in,Summer,2016,3490
Khaleej FC,Saudi Arabia,Ibrahim Taher Al-Ibrahim,24.0,Right Winger,Al-Ettifaq,Saudi Arabia,in,Summer,2016,3491
Khaleej FC,Saudi Arabia,Shafi Al-Dossari,26.0,Left-Back,,,in,Summer,2016,3492
Khaleej FC,Saudi Arabia,Sagesse Babélé,23.0,Centre-Back,Diables Noirs,France,in,Summer,2016,3493
Khaleej FC,Saudi Arabia,Adama François,26.0,Centre-Back,Hajer,Saudi Arabia,in,Summer,2016,3494
Khaleej FC,Saudi Arabia,Faisal Al-Khara,22.0,Right-Back,Ittihad Club,Saudi Arabia,in,Summer,2016,3495
Khaleej FC,Saudi Arabia,Abdulelah Al-Bukhari,22.0,Left-Back,Al-Ahli SFC,Saudi Arabia,in,Summer,2016,3496
Khaleej FC,Saudi Arabia,Khaled Al-Obod,26.0,Second Striker,Al-Ettifaq,Saudi Arabia,in,Summer,2016,3497
Khaleej FC,Saudi Arabia,Mustafa Al-Musawi,21.0,Centre-Forward,Al-Ahli SFC U23,Saudi Arabia,in,Summer,2016,3498
Khaleej FC,Saudi Arabia,Ibrahim Al-Zawahreh,27.0,Centre-Back,Al-Faisaly SC,Saudi Arabia,out,Summer,2016,3499
Khaleej FC,Saudi Arabia,Jandson,30.0,Centre-Forward,Chiangrai Utd.,Thailand,out,Summer,2016,3500
Khaleej FC,Saudi Arabia,Salman Hazazi,29.0,Right-Back,Al-Ettifaq,Saudi Arabia,out,Summer,2016,3501
Khaleej FC,Saudi Arabia,Khaled Al-Zylaeei,29.0,Right Winger,Al-Faisaly FC,Saudi Arabia,out,Summer,2016,3502
Khaleej FC,Saudi Arabia,Aminou Bouba,25.0,Centre-Back,Al-Ettifaq,Saudi Arabia,out,Summer,2016,3503
Khaleej FC,Saudi Arabia,Adel Mohamed,37.0,Right-Back,Al-Hamriyah,United Arab Emirates,out,Summer,2016,3504
Khaleej FC,Saudi Arabia,Hasan Al-Tridi,26.0,Centre-Back,Al-Nahdah FC,Saudi Arabia,out,Summer,2016,3505
Khaleej FC,Saudi Arabia,Husain Turki,34.0,Centre-Forward,Retired,Retired,out,Summer,2016,3506
Khaleej FC,Saudi Arabia,Abdulmajeed Al-thunayan,26.0,Goalkeeper,Free Agent,Free Agent,out,Summer,2016,3507
Khaleej FC,Saudi Arabia,Issa Al-Abbas,33.0,Right-Back,Free Agent,Free Agent,out,Summer,2016,3508
Khaleej FC,Saudi Arabia,Luai Al-Msjen,29.0,Defensive Midfield,Free Agent,Free Agent,out,Summer,2016,3509
Khaleej FC,Saudi Arabia,Hadi Al-Abbas,30.0,Defensive Midfield,Free Agent,Free Agent,out,Summer,2016,3510
Khaleej FC,Saudi Arabia,Rashed Al Rahab,32.0,Right-Back,Free Agent,Free Agent,out,Summer,2016,3511
Khaleej FC,Saudi Arabia,Sagesse Babélé,23.0,Centre-Back,Free Agent,Free Agent,out,Summer,2016,3512
Khaleej FC,Saudi Arabia,Marcão,27.0,Defensive Midfield,Lusitano VRSA,Portugal,out,Summer,2016,3513
Khaleej FC,Saudi Arabia,Aboubacar Sylla,22.0,Defensive Midfield,JS Kairouan,Tunisia,out,Summer,2016,3514
Khaleej FC,Saudi Arabia,Abdoulaye Koffi,24.0,Centre-Forward,Al-Suwaiq,Saudi Arabia,out,Summer,2016,3515
Khaleej FC,Saudi Arabia,Musab Al-Otaibi,24.0,Defensive Midfield,Al-Nassr,Saudi Arabia,out,Summer,2016,3516
Khaleej FC,Saudi Arabia,Samer Salem,23.0,Second Striker,Al-Ahli SFC,Saudi Arabia,out,Summer,2016,3517
Khaleej FC,Saudi Arabia,Hattan Bahebri,23.0,Left Winger,Ittihad Club,Saudi Arabia,out,Summer,2016,3518
Al-Nassr FC,Saudi Arabia,Marin Tomasov,28.0,Right Winger,HNK Rijeka,Croatia,in,Summer,2016,3519
Al-Nassr FC,Saudi Arabia,Bruno Uvini,25.0,Centre-Back,SSC Napoli,Italy,in,Summer,2016,3520
Al-Nassr FC,Saudi Arabia,Abdulelah Al-Nassar,24.0,Central Midfield,Shoalah,Azerbaijan,in,Summer,2016,3521
Al-Nassr FC,Saudi Arabia,Víctor Ayala,28.0,Central Midfield,Lanús,Argentina,in,Summer,2016,3522
Al-Nassr FC,Saudi Arabia,Ivan Tomecak,26.0,Right-Back,Dnipro,Ukraine,in,Summer,2016,3523
Al-Nassr FC,Saudi Arabia,Musab Al-Otaibi,24.0,Defensive Midfield,Khaleej,Saudi Arabia,in,Summer,2016,3524
Al-Nassr FC,Saudi Arabia,Rabea Al-Sofiani,29.0,Centre-Forward,Al-Taawoun,Saudi Arabia,in,Summer,2016,3525
Al-Nassr FC,Saudi Arabia,Abdulrahman Al-Shammari,27.0,Right-Back,Al-Ettifaq,Saudi Arabia,in,Summer,2016,3526
Al-Nassr FC,Saudi Arabia,Ali Al-Khaibari,26.0,Centre-Back,Najran SC,Saudi Arabia,in,Summer,2016,3527
Al-Nassr FC,Saudi Arabia,Modibo Maïga,29.0,Centre-Forward,Ittihad Kalba,United Arab Emirates,out,Summer,2016,3528
Al-Nassr FC,Saudi Arabia,Adrian Mierzejewski,29.0,Attacking Midfield,Sharjah FC,United Arab Emirates,out,Summer,2016,3529
Al-Nassr FC,Saudi Arabia,Jumaan Al-Dosari,28.0,Centre-Back,Al-Ettifaq,Saudi Arabia,out,Summer,2016,3530
Al-Nassr FC,Saudi Arabia,Musab Al-Otaibi,24.0,Defensive Midfield,Al-Taawoun,Saudi Arabia,out,Summer,2016,3531
Al-Nassr FC,Saudi Arabia,Mohammed Husain Bahzad,35.0,Centre-Back,Al-Riffa SC,Bahrain,out,Summer,2016,3532
Al-Nassr FC,Saudi Arabia,Ayman Fenteany,21.0,Defensive Midfield,Al-Raed,Saudi Arabia,out,Summer,2016,3533
Al-Nassr FC,Saudi Arabia,Mutab Sharahili,23.0,Goalkeeper,Al-Raed,Saudi Arabia,out,Summer,2016,3534
Al-Nassr FC,Saudi Arabia,Abdulrahman Al-Shammari,27.0,Right-Back,Al-Taawoun,Saudi Arabia,out,Summer,2016,3535
Al-Shabab FC,Saudi Arabia,Heberty,27.0,Second Striker,Ratchaburi FC,Thailand,in,Summer,2016,3536
Al-Shabab FC,Saudi Arabia,Idris Mbombo,21.0,Centre-Forward,ZESCO United FC,Canada,in,Summer,2016,3537
Al-Shabab FC,Saudi Arabia,Sultan Al-Deayea,23.0,Centre-Back,Al-Hilal,Saudi Arabia,in,Summer,2016,3538
Al-Shabab FC,Saudi Arabia,Hattan Bahebri,23.0,Left Winger,Ittihad Club,Saudi Arabia,in,Summer,2016,3539
Al-Shabab FC,Saudi Arabia,Sebastián Píriz,26.0,Defensive Midfield,Tigre,Argentina,in,Summer,2016,3540
Al-Shabab FC,Saudi Arabia,Abdullah Al-Fahad,22.0,Centre-Back,Al-Faisaly FC,Saudi Arabia,in,Summer,2016,3541
Al-Shabab FC,Saudi Arabia,Djamel Eddine Benlamri,26.0,Centre-Back,ES Sétif,Algeria,in,Summer,2016,3542
Al-Shabab FC,Saudi Arabia,Amer Haroon,23.0,Centre-Back,Al-Wehda,Saudi Arabia,in,Summer,2016,3543
Al-Shabab FC,Saudi Arabia,Saud Kariri,36.0,Defensive Midfield,Free Agent,Free Agent,in,Summer,2016,3544
Al-Shabab FC,Saudi Arabia,Abdullah Al-Subaie,22.0,Defensive Midfield,Al-Shabab U23,Saudi Arabia,in,Summer,2016,3545
Al-Shabab FC,Saudi Arabia,Abdulmalik Al-Shammari,20.0,Left-Back,Al-Shabab U23,Saudi Arabia,in,Summer,2016,3546
Al-Shabab FC,Saudi Arabia,Omar Al-Mazial,23.0,Right-Back,Al-Wehda,Saudi Arabia,in,Summer,2016,3547
Al-Shabab FC,Saudi Arabia,Hamad Al-Jayzani,23.0,Left-Back,Al-Faisaly FC,Saudi Arabia,in,Summer,2016,3548
Al-Shabab FC,Saudi Arabia,Faisal Al-Jahani,23.0,Right Midfield,Al-Riyadh SC,Qatar,in,Summer,2016,3549
Al-Shabab FC,Saudi Arabia,Jamaan Al-Dossari,22.0,Centre-Back,Najran SC,Saudi Arabia,in,Summer,2016,3550
Al-Shabab FC,Saudi Arabia,Nader Al-Mowalad,23.0,Defensive Midfield,Al-Raed,Saudi Arabia,in,Summer,2016,3551
Al-Shabab FC,Saudi Arabia,Mousa Al-Shamri,30.0,Attack,Al-Taawoun,Saudi Arabia,out,Summer,2016,3552
Al-Shabab FC,Saudi Arabia,Omar Al-Mazial,23.0,Right-Back,Ittihad Club,Saudi Arabia,out,Summer,2016,3553
Al-Shabab FC,Saudi Arabia,Abdulmalek Al-Khaibri,30.0,Defensive Midfield,Al-Hilal,Saudi Arabia,out,Summer,2016,3554
Al-Shabab FC,Saudi Arabia,Diego Arismendi,28.0,Defensive Midfield,Club Nacional de Football,Uruguay,out,Summer,2016,3555
Al-Shabab FC,Saudi Arabia,Majed Al-Marshadi,31.0,Centre-Back,Al-Fateh,Saudi Arabia,out,Summer,2016,3556
Al-Shabab FC,Saudi Arabia,Sayyaf Al-Bishi,36.0,Centre-Back,Al-Raed,Saudi Arabia,out,Summer,2016,3557
Al-Shabab FC,Saudi Arabia,Sultan Al-Deayea,23.0,Centre-Back,Al-Hilal,Saudi Arabia,out,Summer,2016,3558
Al-Shabab FC,Saudi Arabia,Rakhi Al-Shammari,19.0,Centre-Forward,Al-Jabalain,Saudi Arabia,out,Summer,2016,3559
Al-Shabab FC,Saudi Arabia,Abdullah Hadhereti,23.0,Centre-Forward,Al-Taqadom,United Arab Emirates,out,Summer,2016,3560
Al-Shabab FC,Saudi Arabia,Amer Haroon,24.0,Centre-Back,Al-Wehda,Saudi Arabia,out,Summer,2016,3561
Al-Shabab FC,Saudi Arabia,Rafinha,32.0,Left Winger,Cruzeiro,Brazil,out,Summer,2016,3562
Al-Shabab FC,Saudi Arabia,Saeed Al-Dosari,25.0,Right Midfield,Al-Taawoun,Saudi Arabia,out,Summer,2016,3563
Al-Shabab FC,Saudi Arabia,Sari Amro,27.0,Left-Back,Al-Taawoun,Saudi Arabia,out,Summer,2016,3564
Al-Shabab FC,Saudi Arabia,Nader Al-Mowalad,23.0,Defensive Midfield,Al-Faisaly FC,Saudi Arabia,out,Summer,2016,3565
Al-Shabab FC,Saudi Arabia,Faisal Al-Jahani,23.0,Right Midfield,Al-Fayha,Saudi Arabia,out,Summer,2016,3566
Al-Shabab FC,Saudi Arabia,Sebastián Píriz,26.0,Defensive Midfield,Free Agent,Free Agent,out,Summer,2016,3567
Al-Taawoun FC,Saudi Arabia,Mousa Al-Shamri,30.0,Attack,Al-Shabab,Saudi Arabia,in,Summer,2016,3568
Al-Taawoun FC,Saudi Arabia,Fahad Al-Shammari,35.0,Goalkeeper,Al-Raed,Saudi Arabia,in,Summer,2016,3569
Al-Taawoun FC,Saudi Arabia,Mounir El Hamdaoui,32.0,Centre-Forward,Umm Salal SC,Qatar,in,Summer,2016,3570
Al-Taawoun FC,Saudi Arabia,Musab Al-Otaibi,24.0,Defensive Midfield,Al-Nassr,Saudi Arabia,in,Summer,2016,3571
Al-Taawoun FC,Saudi Arabia,Abdulaziz Al-Shereid,22.0,Central Midfield,Al-Hilal U23,Saudi Arabia,in,Summer,2016,3572
Al-Taawoun FC,Saudi Arabia,Sager Otayf,25.0,Attacking Midfield,Al-Wehda,Saudi Arabia,in,Summer,2016,3573
Al-Taawoun FC,Saudi Arabia,Saeed Al-Dosari,25.0,Right Midfield,Al-Shabab,Saudi Arabia,in,Summer,2016,3574
Al-Taawoun FC,Saudi Arabia,Ibrahim Al-Zubaidi,27.0,Left-Back,Najran SC,Saudi Arabia,in,Summer,2016,3575
Al-Taawoun FC,Saudi Arabia,Sari Amro,27.0,Left-Back,Al-Shabab,Saudi Arabia,in,Summer,2016,3576
Al-Taawoun FC,Saudi Arabia,Abdulrahman Al-Shammari,27.0,Right-Back,Al-Nassr,Saudi Arabia,in,Summer,2016,3577
Al-Taawoun FC,Saudi Arabia,Paul Alo'o Efoulou,32.0,Centre-Forward,Al-Sailiya SC,Qatar,out,Summer,2016,3578
Al-Taawoun FC,Saudi Arabia,Kamil Fallatah Al-Mor,33.0,Right-Back,Al-Wehda,Saudi Arabia,out,Summer,2016,3579
Al-Taawoun FC,Saudi Arabia,Khaled Al-Zylaeei,29.0,Right Winger,Khaleej,Saudi Arabia,out,Summer,2016,3580
Al-Taawoun FC,Saudi Arabia,Nawaf Al-Sehimai,21.0,Central Midfield,Damac FC,Saudi Arabia,out,Summer,2016,3581
Al-Taawoun FC,Saudi Arabia,Faisal Al-Margab,35.0,Goalkeeper,,,out,Summer,2016,3582
Al-Taawoun FC,Saudi Arabia,Bader Al-Khames,32.0,Centre-Forward,Al-Nahdah FC,Saudi Arabia,out,Summer,2016,3583
Al-Taawoun FC,Saudi Arabia,Adnan Falatah,32.0,Left-Back,Ittihad Club,Saudi Arabia,out,Summer,2016,3584
Al-Taawoun FC,Saudi Arabia,Abdulmajeed Abdullah Al-Ruwaili,29.0,Central Midfield,Al-Hilal,Saudi Arabia,out,Summer,2016,3585
Al-Taawoun FC,Saudi Arabia,Ahmad Al-Turky,22.0,Right Midfield,Al-Tai,Saudi Arabia,out,Summer,2016,3586
Al-Taawoun FC,Saudi Arabia,Rabea Al-Sofiani,29.0,Centre-Forward,Al-Nassr,Saudi Arabia,out,Summer,2016,3587
Al-Taawoun FC,Saudi Arabia,Mohammed Majrashi,25.0,Second Striker,Al-Ahli SFC,Saudi Arabia,out,Summer,2016,3588
Al-Ettifaq FC,Saudi Arabia,Boubacar Fofana,26.0,Defensive Midfield,Nacional,Portugal,in,Summer,2016,3589
Al-Ettifaq FC,Saudi Arabia,Youssef Al-Salem,31.0,Centre-Forward,Al-Hilal,Saudi Arabia,in,Summer,2016,3590
Al-Ettifaq FC,Saudi Arabia,Nasser Al-Abdali,23.0,Left Midfield,,,in,Summer,2016,3591
Al-Ettifaq FC,Saudi Arabia,Jumaan Al-Dosari,28.0,Centre-Back,Al-Nassr,Saudi Arabia,in,Summer,2016,3592
Al-Ettifaq FC,Saudi Arabia,Mohamed Koffi,29.0,Centre-Back,Zamalek,Egypt,in,Summer,2016,3593
Al-Ettifaq FC,Saudi Arabia,Aminou Bouba,25.0,Centre-Back,Khaleej,Saudi Arabia,in,Summer,2016,3594
Al-Ettifaq FC,Saudi Arabia,Salman Hazazi,29.0,Right-Back,Khaleej,Saudi Arabia,in,Summer,2016,3595
Al-Ettifaq FC,Saudi Arabia,Léo,26.0,Centre-Forward,Al-Mojzel,Saudi Arabia,in,Summer,2016,3596
Al-Ettifaq FC,Saudi Arabia,Mohammed Al-Saiari,23.0,Centre-Forward,Hajer,Saudi Arabia,in,Summer,2016,3597
Al-Ettifaq FC,Saudi Arabia,Osama Al-Hamdan,27.0,Goalkeeper,Al-Fayha,Saudi Arabia,in,Summer,2016,3598
Al-Ettifaq FC,Saudi Arabia,Abdulaziz Al-Nashi,29.0,Defensive Midfield,Al-Nahdah FC,Saudi Arabia,in,Summer,2016,3599
Al-Ettifaq FC,Saudi Arabia,Saleh Jamaan Al-Amri,22.0,Left Winger,Al-Ahli SFC,Saudi Arabia,in,Summer,2016,3600
Al-Ettifaq FC,Saudi Arabia,Hamed Al-Sharief,21.0,Defence,Al-Ahli SFC U23,Saudi Arabia,in,Summer,2016,3601
Al-Ettifaq FC,Saudi Arabia,Fahad Al-Hajeri,25.0,Centre-Back,Kuwait SC,Brazil,in,Summer,2016,3602
Al-Ettifaq FC,Saudi Arabia,Sofiane Khelili,26.0,Centre-Back,CR Belouizdad,Algeria,in,Summer,2016,3603
Al-Ettifaq FC,Saudi Arabia,Abdullah Al-Bahri,21.0,Goalkeeper,Al-Nojoom FC,Saudi Arabia,in,Summer,2016,3604
Al-Ettifaq FC,Saudi Arabia,Mohammed Al-Zubaidi,18.0,Left-Back,Al-Ettifaq U23,Saudi Arabia,in,Summer,2016,3605
Al-Ettifaq FC,Saudi Arabia,Ali Al-Zaqan,24.0,Right-Back,Al-Wehda,Saudi Arabia,in,Summer,2016,3606
Al-Ettifaq FC,Saudi Arabia,Zamil Al-Sulim,26.0,Centre-Forward,Al-Wehda,Saudi Arabia,in,Summer,2016,3607
Al-Ettifaq FC,Saudi Arabia,Fawaz Al-Temihy,23.0,Defence,Al-Adalah,Saudi Arabia,out,Summer,2016,3608
Al-Ettifaq FC,Saudi Arabia,Mohamad Al-Sharif,25.0,Midfield,,,out,Summer,2016,3609
Al-Ettifaq FC,Saudi Arabia,Abdullah Omar,29.0,Right-Back,Al-Muharraq,Bahrain,out,Summer,2016,3610
Al-Ettifaq FC,Saudi Arabia,AlBara'a Baazeem,24.0,Second Striker,Najran SC,Saudi Arabia,out,Summer,2016,3611
Al-Ettifaq FC,Saudi Arabia,Ibrahim Taher Al-Ibrahim,24.0,Right Winger,Khaleej,Saudi Arabia,out,Summer,2016,3612
Al-Ettifaq FC,Saudi Arabia,Mubarak Al-Dossary,25.0,Centre-Back,Al-Nahdah FC,Saudi Arabia,out,Summer,2016,3613
Al-Ettifaq FC,Saudi Arabia,Abdoh Hakami,33.0,Midfield,Al-Nahdah FC,Saudi Arabia,out,Summer,2016,3614
Al-Ettifaq FC,Saudi Arabia,Saud Fallath,22.0,Centre-Back,Al-Nojoom FC,Saudi Arabia,out,Summer,2016,3615
Al-Ettifaq FC,Saudi Arabia,Khaled Hamdi,24.0,Defensive Midfield,Al-Orobah FC,Saudi Arabia,out,Summer,2016,3616
Al-Ettifaq FC,Saudi Arabia,Faisal Al-Jamaan,30.0,Centre-Forward,Hajer,Saudi Arabia,out,Summer,2016,3617
Al-Ettifaq FC,Saudi Arabia,Abdullah Al-Bahri,21.0,Goalkeeper,Al-Nojoom FC,Saudi Arabia,out,Summer,2016,3618
Al-Ettifaq FC,Saudi Arabia,Zamil Al-Sulim,26.0,Centre-Forward,Shoalah,Azerbaijan,out,Summer,2016,3619
Al-Ettifaq FC,Saudi Arabia,Khaled Al-Obod,26.0,Second Striker,Khaleej,Saudi Arabia,out,Summer,2016,3620
Al-Ettifaq FC,Saudi Arabia,Ricardinho,30.0,Central Midfield,Free Agent,Free Agent,out,Summer,2016,3621
Al-Ettifaq FC,Saudi Arabia,Salman Hazazi,30.0,Right-Back,Free Agent,Free Agent,out,Summer,2016,3622
Al-Ettifaq FC,Saudi Arabia,Jamaan Al-Jamaan,34.0,Centre-Back,Retired,Retired,out,Summer,2016,3623
Al-Ettifaq FC,Saudi Arabia,Abdulaziz Al-Mansour,25.0,Left-Back,Al-Wehda,Saudi Arabia,out,Summer,2016,3624
Al-Ettifaq FC,Saudi Arabia,Abdulrahman Al-Shammari,27.0,Right-Back,Al-Nassr,Saudi Arabia,out,Summer,2016,3625
Al-Ettifaq FC,Saudi Arabia,Saeed Al-Rubaie,22.0,Centre-Back,Al-Ahli SFC,Saudi Arabia,out,Summer,2016,3626
Al-Raed SFC,Saudi Arabia,Abdulrahim Jaizawi,27.0,Left Winger,Free Agent,Free Agent,in,Summer,2016,3627
Al-Raed SFC,Saudi Arabia,Sultan Al-Sharif,24.0,Defensive Midfield,Najran SC,Saudi Arabia,in,Summer,2016,3628
Al-Raed SFC,Saudi Arabia,Sultan Al-Sawadi,23.0,Right Midfield,Al-Ahli SFC,Saudi Arabia,in,Summer,2016,3629
Al-Raed SFC,Saudi Arabia,Murad Al-Rashidi,25.0,Left Midfield,Hajer,Saudi Arabia,in,Summer,2016,3630
Al-Raed SFC,Saudi Arabia,Mohamad Sharifi,37.0,Goalkeeper,Al-Wehda,Saudi Arabia,in,Summer,2016,3631
Al-Raed SFC,Saudi Arabia,Mohammed Al-Amri,24.0,Right-Back,Ittihad Club,Saudi Arabia,in,Summer,2016,3632
Al-Raed SFC,Saudi Arabia,Sayyaf Al-Bishi,36.0,Centre-Back,Al-Shabab,Saudi Arabia,in,Summer,2016,3633
Al-Raed SFC,Saudi Arabia,Daniel Amora,28.0,Defensive Midfield,Sampaio Corrêa,Brazil,in,Summer,2016,3634
Al-Raed SFC,Saudi Arabia,Adriano Alves,31.0,Centre-Back,Najran SC,Saudi Arabia,in,Summer,2016,3635
Al-Raed SFC,Saudi Arabia,Abdulaziz Al-Jamman,21.0,Right-Back,Al-Hilal U23,Saudi Arabia,in,Summer,2016,3636
Al-Raed SFC,Saudi Arabia,Saeed Al-Mowalad,25.0,Right-Back,Farense,Portugal,in,Summer,2016,3637
Al-Raed SFC,Saudi Arabia,Abdulaziz Majrashi,24.0,Right-Back,Al-Wehda,Saudi Arabia,in,Summer,2016,3638
Al-Raed SFC,Saudi Arabia,Gilmar,26.0,Attacking Midfield,Naxxar Lions FC,Ghana,in,Summer,2016,3639
Al-Raed SFC,Saudi Arabia,Ayman Fenteany,21.0,Defensive Midfield,Al-Nassr,Saudi Arabia,in,Summer,2016,3640
Al-Raed SFC,Saudi Arabia,Abdulkarim Al-Qahtani,23.0,Attacking Midfield,Al-Hilal U23,Saudi Arabia,in,Summer,2016,3641
Al-Raed SFC,Saudi Arabia,Mutab Sharahili,23.0,Goalkeeper,Al-Nassr,Saudi Arabia,in,Summer,2016,3642
Al-Raed SFC,Saudi Arabia,Abdullah Al-Zahrani,22.0,Goalkeeper,Al-Raed U23,Saudi Arabia,in,Summer,2016,3643
Al-Raed SFC,Saudi Arabia,Maher Hawsawi,23.0,Centre-Forward,Shoalah,Azerbaijan,in,Summer,2016,3644
Al-Raed SFC,Saudi Arabia,Meshal Al-Enazi,29.0,Left Midfield,Al-Faisaly FC,Saudi Arabia,in,Summer,2016,3645
Al-Raed SFC,Saudi Arabia,Eid Al-Farsi,25.0,Central Midfield,Fanja SC,France,out,Summer,2016,3646
Al-Raed SFC,Saudi Arabia,Saad Al-Saleh,24.0,Goalkeeper,Al-Qadsiah FC,Saudi Arabia,out,Summer,2016,3647
Al-Raed SFC,Saudi Arabia,Fahad Al-Shammari,35.0,Goalkeeper,Al-Taawoun,Saudi Arabia,out,Summer,2016,3648
Al-Raed SFC,Saudi Arabia,Marcos Pizzelli,31.0,Attacking Midfield,Fujairah SC,United Arab Emirates,out,Summer,2016,3649
Al-Raed SFC,Saudi Arabia,Fahad Al-Johani,24.0,Centre-Forward,Al-Qadsiah FC,Saudi Arabia,out,Summer,2016,3650
Al-Raed SFC,Saudi Arabia,Ibrahim Madkhali,32.0,Left-Back,Al-Qaisumah FC,Saudi Arabia,out,Summer,2016,3651
Al-Raed SFC,Saudi Arabia,Majed Versani,0.0,Defensive Midfield,,,out,Summer,2016,3652
Al-Raed SFC,Saudi Arabia,Raed Al-Friede,22.0,Centre-Back,,,out,Summer,2016,3653
Al-Raed SFC,Saudi Arabia,Abdullah Al-Harbi,27.0,Centre-Back,Al-Hazem,Saudi Arabia,out,Summer,2016,3654
Al-Raed SFC,Saudi Arabia,Abdulaziz Majrashi,25.0,Right-Back,Al-Fayha,Saudi Arabia,out,Summer,2016,3655
Al-Raed SFC,Saudi Arabia,Abdulmohsen Al-Asiri,26.0,Defensive Midfield,,,out,Summer,2016,3656
Al-Raed SFC,Saudi Arabia,Sultan Al-Bargan,33.0,Defensive Midfield,Retired,Retired,out,Summer,2016,3657
Al-Raed SFC,Saudi Arabia,Sayyaf Al-Bishi,36.0,Centre-Back,Free Agent,Free Agent,out,Summer,2016,3658
Al-Raed SFC,Saudi Arabia,Boubacar Kébé,29.0,Centre-Forward,Free Agent,Free Agent,out,Summer,2016,3659
Al-Raed SFC,Saudi Arabia,Saleh Al-Omrani,22.0,Defence,Al-Qadsiah FC,Saudi Arabia,out,Summer,2016,3660
Al-Raed SFC,Saudi Arabia,Sultan Al-Beshi,26.0,Right-Back,Al-Hilal,Saudi Arabia,out,Summer,2016,3661
